Year,Month,Median montly series,Season
1773,7,46.5,Summer
1773,8,83.5,Summer
1773,9,196.9,Autumn
1773,10,149.2,Autumn
1773,11,142.0,Autumn
1773,12,119.3,Winter
1774,1,110.3,Winter
1774,2,85.7,Winter
1774,3,43.3,Spring
1774,4,65.0,Spring
1774,5,74.8,Spring
1774,6,90.6,Summer
1774,7,104.4,Summer
1774,8,88.6,Summer
1774,9,151.6,Autumn
1774,10,40.4,Autumn
1774,11,61.0,Autumn
1774,12,68.9,Winter
1775,1,94.9,Winter
1775,2,123.6,Winter
1775,3,74.9,Spring
1775,4,35.0,Spring
1775,5,33.7,Spring
1775,6,48.7,Summer
1775,7,171.0,Summer
1775,8,159.8,Summer
1775,9,147.3,Autumn
1775,10,177.3,Autumn
1775,11,114.9,Autumn
1775,12,68.7,Winter
1776,1,47.7,Winter
1776,2,116.1,Winter
1776,3,48.7,Spring
1776,4,31.1,Spring
1776,5,41.5,Spring
1776,6,96.4,Summer
1776,7,129.6,Summer
1776,8,152.4,Summer
1776,9,143.0,Autumn
1776,10,69.4,Autumn
1776,11,94.3,Autumn
1776,12,66.3,Winter
1777,1,46.4,Winter
1777,2,61.9,Winter
1777,3,67.0,Spring
1777,4,76.3,Spring
1777,5,68.1,Spring
1777,6,112.4,Summer
1777,7,111.4,Summer
1777,8,106.2,Summer
1777,9,51.6,Autumn
1777,10,175.3,Autumn
1777,11,104.1,Autumn
1777,12,50.5,Winter
1778,1,80.4,Winter
1778,2,40.8,Winter
1778,3,73.2,Spring
1778,4,39.6,Spring
1778,5,97.2,Spring
1778,6,97.2,Summer
1778,7,175.2,Summer
1778,8,50.4,Summer
1778,9,79.2,Autumn
1778,10,181.2,Autumn
1778,11,132.0,Autumn
1778,12,153.6,Winter
1779,1,19.9,Winter
1779,2,34.6,Winter
1779,3,25.2,Spring
1779,4,71.3,Spring
1779,5,82.8,Spring
1779,6,83.9,Summer
1779,7,161.5,Summer
1779,8,36.7,Summer
1779,9,151.0,Autumn
1779,10,145.7,Autumn
1779,11,88.1,Autumn
1779,12,147.8,Winter
1780,1,34.5,Winter
1780,2,79.6,Winter
1780,3,61.9,Spring
1780,4,97.3,Spring
1780,5,68.1,Spring
1780,6,53.0,Summer
1780,7,68.1,Summer
1780,8,30.9,Summer
1780,9,157.4,Autumn
1780,10,139.7,Autumn
1780,11,85.8,Autumn
1780,12,16.8,Winter
